"horizon_h","datetime_utc","kp_forecast","kp_lo80","kp_hi80","kp_lo95","kp_hi95","risk_level"
1,"2025-01-01 00:00:00",4.1,3.48,4.719,3.152,5.047,"MODERADO"
2,"2025-01-01 01:00:00",4.1,3.224,4.976,2.76,5.44,"MODERADO"
3,"2025-01-01 02:00:00",4.1,3.027,5.173,2.459,5.741,"MODERADO"
4,"2025-01-01 03:00:00",4.073,2.834,5.312,2.178,5.968,"MODERADO"
5,"2025-01-01 04:00:00",4.073,2.687,5.458,1.954,6.192,"MODERADO"
6,"2025-01-01 05:00:00",4.073,2.555,5.59,1.752,6.394,"MODERADO"
7,"2025-01-01 06:00:00",4.013,2.374,5.652,1.506,6.52,"MODERADO"
8,"2025-01-01 07:00:00",4.013,2.26,5.765,1.333,6.693,"MODERADO"
9,"2025-01-01 08:00:00",4.013,2.154,5.871,1.17,6.855,"MODERADO"
10,"2025-01-01 09:00:00",4.039,2.08,5.998,1.042,7.035,"MODERADO"
11,"2025-01-01 10:00:00",4.039,1.984,6.094,0.896,7.181,"MODERADO"
12,"2025-01-01 11:00:00",4.039,1.893,6.185,0.756,7.321,"MODERADO"
13,"2025-01-01 12:00:00",4.038,1.804,6.272,0.621,7.454,"MODERADO"
14,"2025-01-01 13:00:00",4.038,1.719,6.356,0.492,7.583,"MODERADO"
15,"2025-01-01 14:00:00",4.038,1.638,6.437,0.368,7.708,"MODERADO"
16,"2025-01-01 15:00:00",3.882,1.403,6.36,0.092,7.672,"MODERADO"
17,"2025-01-01 16:00:00",3.882,1.327,6.436,0,7.789,"MODERADO"
18,"2025-01-01 17:00:00",3.882,1.253,6.51,0,7.902,"MODERADO"
19,"2025-01-01 18:00:00",3.88,1.179,6.581,0,8.01,"MODERADO"
20,"2025-01-01 19:00:00",3.88,1.109,6.651,0,8.117,"MODERADO"
21,"2025-01-01 20:00:00",3.88,1.041,6.719,0,8.222,"MODERADO"
22,"2025-01-01 21:00:00",3.88,0.974,6.786,0,8.324,"MODERADO"
23,"2025-01-01 22:00:00",3.88,0.908,6.851,0,8.424,"MODERADO"
24,"2025-01-01 23:00:00",3.88,0.845,6.915,0,8.522,"MODERADO"
